Compound,Date,Negative,Neutral,News Outlet,Positive,Tweet Text,Tweets Count
0.7351,Mon Jun 11 01:26:03 +0000 2018,0.079,0.625,@CBS,0.296,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,60
0.0,Mon Jun 11 01:25:59 +0000 2018,0.0,1.0,@CBS,0.0,RT @KatLargent: MAGIC #TonyAwards,61
0.0,Mon Jun 11 01:24:46 +0000 2018,0.0,1.0,@CBS,0.0,Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8,62
0.4019,Mon Jun 11 01:24:12 +0000 2018,0.0,0.838,@CBS,0.162,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,63
0.9151,Mon Jun 11 01:19:59 +0000 2018,0.0,0.543,@CBS,0.457,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK,64
0.6369,Mon Jun 11 01:12:31 +0000 2018,0.0,0.625,@CBS,0.375,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,65
0.1511,Mon Jun 11 01:08:28 +0000 2018,0.0,0.898,@CBS,0.102,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,66
0.1531,Mon Jun 11 01:08:24 +0000 2018,0.0,0.852,@CBS,0.148,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,67
0.8834,Mon Jun 11 01:02:47 +0000 2018,0.0,0.437,@CBS,0.563,Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,68
0.0,Mon Jun 11 00:58:06 +0000 2018,0.0,1.0,@CBS,0.0,🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6,69
0.2714,Mon Jun 11 00:52:34 +0000 2018,0.0,0.793,@CBS,0.207,RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards,70
0.0,Mon Jun 11 00:51:11 +0000 2018,0.0,1.0,@CBS,0.0,Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi,71
